Code,Parent,Name_fr
"33390","3339","Agents de services commerciaux non classés ailleurs"
"33400","3340","Secrétaires d’administration et secrétaires spécialisés, sip"
"33410","3341","Superviseurs, travail de bureau"
"33420","3342","Secrétaires, services juridiques"
"33430","3343","Secrétaires d’administration et secrétaires exécutifs"
"33440","3344","Secrétaires médicaux"
"33500","3350","Professions intermédiaires de l’application de la loi et assimilées, sip"
"33510","3351","Inspecteurs des douanes et des frontières"
"33520","3352","Contrôleurs des impôts"
"33530","3353","Agents des services publics accordant des prestations sociales"
"33540","3354","Agents des services publics accordant des permis et des licences"
"33550","3355","Inspecteurs et enquêteurs de police"
"33590","3359","Professions intermédiaires de l’application de la loi et assimilées non classées ailleurs"
"34000","3400","Professions intermédiaires des services juridiques, des services sociaux et assimilés, sip"
"34100","3410","Professions intermédiaires des services juridiques, des services sociaux et des religions, sip"
"34110","3411","Professions juridiques intermédiaires et assimilées"
"34120","3412","Professions intermédiaires du travail social"
"34130","3413","Professions intermédiaires des religions"
"34200","3420","Travailleurs du secteur des sports et des activités de remise en forme, sip"
"34210","3421","Athlètes et sportifs de compétition"
"34220","3422","Entraîneurs sportifs et arbitres de sport"
"34230","3423","Instructeurs et animateurs de programmes, loisirs et activités de remise en forme"
"34300","3430","Professions intermédiaires de la culture, de la création artistique et des activités culinaires, sip"
"34310","3431","Photographes"
"34320","3432","Décorateurs et designers d’intérieurs"
"34330","3433","Techniciens de galeries d’art, de musées et de bibliothèques"
"34340","3434","Chefs cuisiniers, chefs cuisiniers remplaçants et sous-chefs cuisiniers"
"34350","3435","Autres professions intermédiaires de la culture et de la création artistique"
"35000","3500","Techniciens de l’information et de la communication, sip"
"35100","3510","Techniciens, opérations et soutien aux utilisateurs des technologies de l’information et de la communication, sip"
"35110","3511","Techniciens des technologies de l’information et de la communication, opérations"
"35120","3512","Techniciens des technologies de l’information et de la communication, soutien aux utilisateurs"
"35130","3513","Techniciens, réseaux et systèmes d’ordinateurs"
"35140","3514","Techniciens de l’internet"
"35200","3520","Techniciens des télécommunications et de la radiodiffusion, sip"
"35210","3521","Techniciens de radio-télévision et d’enregistrement audiovisuel"
"35220","3522","Techniciens des télécommunications"
"40000","4000","Employés de type administratif, sip"
"41000","4100","Employés de bureau, sip"
"41100","4110","Employés de bureau, fonctions générales"
"41200","4120","Secrétaires (fonctions générales)"
"41300","4130","Opérateurs sur clavier, sip"
"41310","4131","Dactylographes et opérateurs de traitement de texte"
"41320","4132","Opérateurs sur clavier numérique"
"42000","4200","Employés de type administratif avec contact client,sip"
"42100","4210","Guichetiers, encaisseurs et assimilés, sip"
"42110","4211","Guichetiers et employés qualifiés des prestations financières, sip"
"42111","4211","Guichetiers d'offices postaux"
"42112","4211","Employés qualifiés des prestations financières"
"42120","4212","Croupiers et assimilés dans le secteur des jeux de hasard"
"42130","4213","Prêteurs sur gages et bailleurs de fonds"
"42140","4214","Encaisseurs et assimilés"
"42200","4220","Employés chargés d’informer la clientèle, sip"
"42210","4221","Consultants et employés d’agence de voyages"
"42220","4222","Employés de centre d’appel"
"42230","4223","Téléphonistes-standardistes"
"42240","4224","Réceptionnistes, hôtellerie"
"42250","4225","Employés, service d’information"
"42260","4226","Réceptionnistes (fonctions générales)"
"42270","4227","Intervieweurs, enquêtes et études de marché"
"42290","4229","Employés chargés d’informer la clientèle non classés ailleurs"
